Name,Position,Height,Weight,Elig Year,Acad Year,Program,Hometown,Image
Brayden Hastie,OL,193.04,285,1,1,Recreation & Sport Business,"Kitchener, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fB._Hastie.jpg&width=300&type=webp
Devon Martin,OL,185.42,293,3,4,Recreation & Sport Business,"Bradford, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fD._Martin.jpg&width=300&type=webp
Matthew Elia,OL,190.5,277,1,2,Arts,"Niagara Falls, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fElia_Matthew.jpg&width=300&type=webp
Thomas Levings,OL,195.57999999999998,288,3,3,Environmental Engineering,"Abbotsford, BC",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fT._Levings.jpg&width=300&type=webp
Julian Bulai,OL,190.5,265,2,3,Arts & Business,"Waterloo, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fJ._Bulai.jpg&width=300&type=webp
Nicholas Gidaro,OL,193.04,287,3,4,Kinesiology,"Vaughan, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fN._Gidaro.jpg&width=300&type=webp
Daniel Dove,OL,195.57999999999998,302,4,4,Math,"Orangeville, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fD._Dove.jpg&width=300&type=webp
Adam Willette,OL,195.57999999999998,320,1,1,Arts,"Etobicoke, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fA._Willette.jpg&width=300&type=webp
Vibushan Pirabaharan,OL,185.42,287,1,3,Liberal Studies,"Oakville, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fPirabaharan_Vib.jpg&width=300&type=webp
Clay Cote,DL,193.04,364,2,3,Arts & Business,"Kingston, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fC._Cote.jpg&width=300&type=webp
Andrew Cooper,OL,182.88,292,1,3,Sociology,"Baden, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fA._Cooper.jpg&width=300&type=webp
Marcus Ola,DL,187.96,253,3,3,Sociology,"Brockville, ON",https://images.sidearmdev.com/resize?url=https%3a%2f%2fdxbhsrqyrr690.cloudfront.net%2fsidearm.nextgen.sites%2fuwaterloo.sidearmsports.com%2fimages%2f2024%2f8%2f19%2fOla_Marcus.jpg&width=300&type=webp
